TestCaseID,Host,Display,Peripheral,ExpectedSales,ExpectedCommission,备注
1,0,40,45,error,error,主机的边界测试
2,1,10,10,775,77.5,主机的边界测试
3,2,10,10,800,80,主机的边界测试
4,69,10,10,2475,495,主机的边界测试
5,70,10,10,2500,500,主机的边界测试
6,71,10,10,error,error,主机的边界测试
7,10,0,10,error,error,显示器的边界测试
8,10,1,10,730,73,显示器的边界测试
9,10,2,10,760,76,显示器的边界测试
10,10,79,10,3070,614,显示器的边界测试
11,10,80,10,3100,620,显示器的边界测试
12,10,81,45,error,error,显示器的边界测试
13,10,10,0,error,error,外设的边界测试
14,10,10,1,595,59.5,外设的边界测试
15,10,10,2,640,64,外设的边界测试
16,10,10,89,4555,911,外设的边界测试
17,10,10,90,4600,920,外设的边界测试
18,10,10,91,error,error,外设的边界测试
19,10,10,20,1450,217.5,正常值
